ID,種別,区,カテゴリ,対象月,名称,開催期間,文化パスポート,写真,開催場所名,住所,詳細URL
1,イベント,八幡東区,遊ぶ,８月,いろんなスポーツを一気に体験！北九キッズスポーツＡＣＣＥＳＳ,8月9日,,1.png,北九州市立総合体育館,北九州市八幡東区八王寺町4-1,https://www.city.kitakyushu.lg.jp/contents/v016_00010.html
2,イベント,小倉北区,遊ぶ,７月,プラレール博 in KITAKYUSHU,7/18～20　7/25～7/26,,2.png,北九州メッセ,北九州市小倉北区浅野3-8-1,https://www.fbs.co.jp/plarail/
3,常設,門司区,遊ぶ,常設,ミニ鉄道公園・運転シミュレーター,常設,,,九州鉄道記念館,北九州市門司区清滝2-3-29,https://www.k-rhm.jp/
4,常設,門司区,遊ぶ,常設,海峡こども広場,常設,,4.png,関門海峡ミュージアム,北九州市門司区西海岸1-3-3,https://mojiko-retoro9.jp/spot/kanmon_kaikyo_museum/
5,イベント,門司区,遊ぶ,７月,夕暮れトロッコ・Sunset Train,"7/4~8/29
(毎週土曜日のみ)",,5.png,門司港レトロ観光列車「潮風号」,北九州市門司区西海岸1-7-1,https://www.retro-line.net/
6,常設,門司区,学ぶ,常設,体感型防災コンテンツ液状化通路浸水歩行体験,毎週日曜日,,6.png,関門海峡ミュージアム,北九州市門司区西海岸1-3-3,https://mojiko-retoro9.jp/spot/kanmon_kaikyo_museum/
7,常設,門司区,学ぶ,常設,海峡アトリウム、海峡体験ゾーン,常設,,,関門海峡ミュージアム,北九州市門司区西海岸1-3-3,https://mojiko-retoro9.jp/spot/kanmon_kaikyo_museum/
8,イベント,戸畑区,学ぶ,"７月,８月",井手康人展ー共鳴する祈り,7/11～8/30,,,美術館,北九州市戸畑区西鞘ケ谷町21-1,https://kmma.jp/
9,イベント,戸畑区,学ぶ,"７月,８月",コレクション展Ⅰ　特集　青柳喜兵衛　玉葱の画家の軌跡,5/16～8/16,,,美術館,北九州市戸畑区西鞘ケ谷町21-1,https://kmma.jp/
10,イベント,戸畑区,学ぶ,８月,美術館探検！,8月9日,,,美術館,北九州市戸畑区西鞘ケ谷町21-1,https://kmma.jp/
11,イベント,戸畑区,学ぶ,８月,ミュージアムコンサート「大西ゆかソプラノコンサート」,8月10日,,,美術館,北九州市戸畑区西鞘ケ谷町21-1,https://kmma.jp/
12,イベント,八幡東区,学ぶ,"７月,８月",「レッツ・チャレンジ！自由研究」,"7/25～27、
７/31～8/2",,,スペースLABO(北九州市科学館),北九州市八幡東区東田4-1-1,https://kitakyushuspacelabo.jp/
13,イベント,八幡東区,学ぶ,８月,サイエンスショー スペース LABO の夏祭り,8月2日,,,スペースLABO(北九州市科学館),北九州市八幡東区東田4-1-1,https://kitakyushuspacelabo.jp/
14,イベント,小倉北区,学ぶ,"７月,８月","パンダコパンダ展
－福岡・北九州市漫画ミュージアムの巻－",7/18~10/18,,,北九州市漫画ミュージアム,北九州市小倉北区浅野2-14-5,https://www.ktqmm.jp/
15,イベント,小倉北区,学ぶ,"７月,８月",漫画体験,7/25、8/9、8/22,,,北九州市漫画ミュージアム,北九州市小倉北区浅野2-14-5,https://www.ktqmm.jp/
16,イベント,小倉北区,学ぶ,"７月,８月",漫画スクール,7/26、8/1、8/23,,,北九州市漫画ミュージアム,北九州市小倉北区浅野2-14-5,https://www.ktqmm.jp/
17,イベント,小倉北区,遊ぶ,"７月,８月",カブト・クワガタ展,7/18～8/30,,,北九州市ほたる館,北九州市小倉北区熊谷2-5-1,https://hotarukan.jimdofree.com/
18,常設,小倉北区,学ぶ,常設,ホタル（卵～成虫）の発光・水生生物の常設展示,常設,,,北九州市ほたる館,北九州市小倉北区熊谷2-5-1,https://hotarukan.jimdofree.com/
19,常設,小倉北区,学ぶ,常設,パソコンでのホタル生態学習,常設,,,北九州市ほたる館,北九州市小倉北区熊谷2-5-1,https://hotarukan.jimdofree.com/
20,常設,八幡西区,学ぶ,常設,水生生物の常設展示,常設,,,香月・黒川ほたる館,北九州市八幡西区香月西4-6-1,https://www.city.kitakyushu.lg.jp/contents/05101142.html
21,常設,八幡西区,学ぶ,常設,パソコンでのホタル生態学習,常設,,,香月・黒川ほたる館,北九州市八幡西区香月西4-6-1,https://www.city.kitakyushu.lg.jp/contents/05101142.html
22,イベント,小倉北区,学ぶ,常設,水環境館,7/21～8/24,,,水環境館,北九州市小倉北区船場町1-2,https://mizukankyokan.jp/
23,イベント,小倉北区,学ぶ,８月,ヨシのもり【流域散策・生き物探し、竹竿で釣り体験、館内キャンプなど】,8/8～8/9,,,水環境館,北九州市小倉北区船場町1-2,https://mizukankyokan.jp/
24,イベント,小倉北区,学ぶ,８月,紫川ながれ隊！【紫川上流域での川流れ体験、川の生き物採集と観察】,8/15～8/16,,,水環境館,北九州市小倉北区船場町1-2,https://mizukankyokan.jp/
25,イベント,若松区,遊ぶ,"７月,８月",グリーンパークの「水遊び」,7/19～9/7,,,北九州市立響灘緑地（グリーンパーク）,北九州市若松区竹並1006,https://hibikinadagp.org/
26,イベント,若松区,遊ぶ,"７月,８月",夏のひんやりスタンプラリー,7/19～9/7【土日祝のみ】,,,北九州市立響灘緑地（グリーンパーク）,北九州市若松区竹並1006,https://hibikinadagp.org/
27,イベント,若松区,学ぶ,"７月,８月",小学生向けサマースクール（お米講座・ポニー飼育講座・カンガルー講座など）,,,,北九州市立響灘緑地（グリーンパーク）,北九州市若松区竹並1006,https://hibikinadagp.org/
28,イベント,若松区,遊ぶ,"７月,８月",カブトムシ・クワガタムシの販売,,,,北九州市立響灘緑地（グリーンパーク）,北九州市若松区竹並1006,https://hibikinadagp.org/
29,イベント,戸畑区,遊ぶ,"７月,８月",スイカ割り【冷やしスイカも食べれる！】,"①7/17-19②8/1,2③8/8,9,11各日9時半～と11時～",,,旧安川邸,北九州市戸畑区一枝1-4-23,https://www.yaskawatei.org/
30,イベント,戸畑区,遊ぶ,7月,夏休みキッズW邸宅ひみつ発見ツアー！,①7/22(水)②7/26(日)　各日10時～11時,,,旧安川邸,北九州市戸畑区一枝1-4-23,https://www.yaskawatei.org/
31,イベント,戸畑区,遊ぶ,7月,オトの日　無料演奏会,7/20　①11時　　②12時半,,,旧安川邸,北九州市戸畑区一枝1-4-23,https://www.yaskawatei.org/
32,イベント,戸畑区,遊ぶ,7月,子ども茶道体験講座,7/25(土)　①13時　②14時　③15時　各40分,,,旧安川邸,北九州市戸畑区一枝1-4-23,https://www.yaskawatei.org/
33,イベント,戸畑区,遊ぶ,7月,北九州の怖いおはなしを上演,7/26(日)　①11時～②12時～　各30分,,,旧安川邸,北九州市戸畑区一枝1-4-23,https://www.yaskawatei.org/
34,イベント,戸畑区,学ぶ,8月,切り絵クリエーターKEN 原画展『涼』～ねこの通り道ひとやすみ～,8月上旬予定,,,旧安川邸,北九州市戸畑区一枝1-4-23,https://www.yaskawatei.org/
35,イベント,小倉北区,遊ぶ,未定,夕涼み,時期未定,,,山田緑地,北九州市小倉北区山田町,https://yamada-park.jimdofree.com/
36,イベント,小倉北区,遊ぶ,未定,水まつり,時期未定,,,山田緑地,北九州市小倉北区山田町,https://yamada-park.jimdofree.com/
37,イベント,小倉北区,遊ぶ,未定,森の映画館,時期未定,,,山田緑地,北九州市小倉北区山田町,https://yamada-park.jimdofree.com/
